dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
Symbols,0.96673367,0.01475901,2.37,37.29
SyntheticControl,0.997,0.00366835,3.62,2.24
ToeSegmentation1,0.9377193,0.02044694,1.83,6.25
ToeSegmentation2,0.93076923,0.02377851,1.95,4.48
Trace,1.0,0.0,3.57,2.96
TwoLeadECG,0.99877085,0.00084819,0.84,9.65
TwoPatterns,1.0,0.0,18.84,47.91
UMD,0.98819444,0.00468714,1.07,2.24
UWaveGestureLibraryAll,0.97735902,0.00258041,84.94,313.89
UWaveGestureLibraryX,0.85714685,0.00618964,32.02,104.78
UWaveGestureLibraryY,0.78333333,0.00963178,32.07,104.14
UWaveGestureLibraryZ,0.79690117,0.00805717,31.85,104.52
Wafer,0.99891304,0.00067564,20.7,88.0
Wine,0.93888889,0.04864417,2.17,1.59
WordSynonyms,0.76238245,0.01273789,8.6,16.84
Worms,0.72467532,0.05078053,16.79,6.9
WormsTwoClass,0.78051948,0.03540797,16.69,6.87
Yoga,0.91666667,0.00650736,14.23,119.56
