dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
SyntheticControl,0.99966667,0.00105409,3.81,2.27
ToeSegmentation1,0.96842105,0.0034597,1.89,6.22
ToeSegmentation2,0.92384615,0.00567588,1.88,4.53
Trace,1.0,0.0,3.63,2.95
TwoLeadECG,0.99912204,0.0,0.76,9.48
TwoPatterns,1.0,0.0,18.82,48.36
UMD,0.99236111,0.00219603,1.29,2.25
UWaveGestureLibraryAll,0.97537688,0.00073037,84.57,313.3
UWaveGestureLibraryX,0.85474595,0.00179508,33.44,106.09
UWaveGestureLibraryY,0.77398102,0.0017958,32.63,104.8
UWaveGestureLibraryZ,0.79190396,0.00214316,32.12,101.82
Wafer,0.99823167,0.00041502,21.52,85.69
Wine,0.81296296,0.03431344,2.14,1.56
WordSynonyms,0.75344828,0.00305095,8.8,16.4
Worms,0.74025974,0.01368951,16.72,6.92
WormsTwoClass,0.7974026,0.01095161,16.59,6.85
Yoga,0.91036667,0.0036833,13.92,117.99
